ip,total_events,probe_conn,login_failed,login_success,http_requests,http_404,fail_rate,probe_ratio,unique_users,unique_ports,unique_paths,time_span_h,events_per_h,active_hours,attack_chain
108.95.165.39,9547,9547,0,0,0,0,0.0,1.0,0,6937,0,29.48,323.85,25,0
213.209.159.175,1294,0,0,0,1294,1278,0.0,0.0,0,0,592,7.08,182.77,4,0
34.96.49.66,778,0,0,0,778,760,0.0,0.0,0,0,771,0.0,778,1,0
136.107.98.147,644,0,0,0,644,634,0.0,0.0,0,0,638,0.0,644,1,0
134.185.86.87,60,0,0,0,60,52,0.0,0.0,0,0,60,0.0,60,1,0
134.185.92.144,60,0,0,0,60,52,0.0,0.0,0,0,60,0.0,60,1,0
106.61.42.246,54,11,5,22,10,1,0.185,0.204,2,21,9,7.85,6.88,6,1
185.19.40.63,42,0,0,0,42,36,0.0,0.0,0,0,19,18.67,2.25,2,0
34.128.107.11,19,0,0,0,19,19,0.0,0.0,0,0,19,0.0,19,1,0
35.228.4.168,19,0,0,0,19,19,0.0,0.0,0,0,19,0.0,19,1,0
62.210.142.168,17,0,0,0,17,13,0.0,0.0,0,0,16,0.03,566.67,1,0
106.61.37.103,13,3,0,10,0,0,0.0,0.231,1,10,0,7.17,1.81,4,0
34.175.223.218,12,0,0,0,12,12,0.0,0.0,0,0,12,0.0,12,1,0
39.100.68.94,8,0,0,0,8,4,0.0,0.0,0,0,5,0.11,72.73,1,0
78.153.140.93,8,0,0,0,8,4,0.0,0.0,0,0,2,5.8,1.38,4,0
113.215.189.240,6,0,0,0,6,2,0.0,0.0,0,0,2,10.01,0.6,2,0
16.5.0.236,6,0,0,0,6,1,0.0,0.0,0,0,2,6.5,0.92,5,0
::1,5,0,0,0,5,0,0.0,0.0,0,0,3,1.55,3.23,2,0
195.170.172.118,4,4,0,0,0,0,0.0,1.0,0,4,0,0.01,400.0,1,0
47.243.223.221,4,0,0,0,4,0,0.0,0.0,0,0,2,0.01,400.0,1,0
195.182.16.23,4,0,0,0,4,4,0.0,0.0,0,0,1,20.6,0.19,4,0
163.172.57.3,4,0,0,0,4,2,0.0,0.0,0,0,2,10.83,0.37,4,0
3.254.72.4,4,0,0,0,4,0,0.0,0.0,0,0,1,0.0,4,1,0
168.76.20.229,4,0,0,0,4,2,0.0,0.0,0,0,3,0.0,4,1,0
18.201.229.237,4,0,0,0,4,0,0.0,0.0,0,0,1,0.0,4,1,0
74.82.47.5,4,0,0,0,4,3,0.0,0.0,0,0,4,0.09,44.44,1,0
