source,ts,host,proc,pid,event,user,ip,port,tag,detail,raw
auth,2026-09-04T10:54:14.998516+08:00,iZj6c5wznxkbnx0qzivylsZ,passwd,1097,ACCOUNT_CHANGE,root,,,,账号密码变更（异常时可提权信号）,2026-09-04T10:54:14.998516+08:00 iZj6c5wznxkbnx0qzivylsZ passwd[1097]: password for 'root' changed by 'root'
auth,2026-09-04T10:54:14.999058+08:00,iZj6c5wznxkbnx0qzivylsZ,sshd,1216,SERVICE_EVENT,,,,,sshd 启动监听,2026-09-04T10:54:14.999058+08:00 iZj6c5wznxkbnx0qzivylsZ sshd[1216]: Server listening on 0.0.0.0 port 22.
auth,2026-09-04T10:54:14.999063+08:00,iZj6c5wznxkbnx0qzivylsZ,sshd,1216,SERVICE_EVENT,,,,,sshd 启动监听,2026-09-04T10:54:14.999063+08:00 iZj6c5wznxkbnx0qzivylsZ sshd[1216]: Server listening on :: port 22.
auth,2026-09-04T10:54:16.879545+08:00,iZj6c5wznxkbnx0qzivylsZ,sshd-session,1353,CONN_CLOSED,,108.95.165.39,56260,[preauth],SSH 连接关闭（扫描器 preauth 特征）,2026-09-04T10:54:16.879545+08:00 iZj6c5wznxkbnx0qzivylsZ sshd-session[1353]: Connection closed by 108.95.165.39 port 56260 [preauth]
auth,2026-09-04T10:54:23.680329+08:00,iZj6c5wznxkbnx0qzivylsZ,sshd-session,1591,CONN_CLOSED,,108.95.165.39,60960,[preauth],SSH 连接关闭（扫描器 preauth 特征）,2026-09-04T10:54:23.680329+08:00 iZj6c5wznxkbnx0qzivylsZ sshd-session[1591]: Connection closed by 108.95.165.39 port 60960 [preauth]
auth,2026-09-04T10:54:30.504651+08:00,iZj6c5wznxkbnx0qzivylsZ,sshd-session,1604,CONN_CLOSED,,108.95.165.39,57314,[preauth],SSH 连接关闭（扫描器 preauth 特征）,2026-09-04T10:54:30.504651+08:00 iZj6c5wznxkbnx0qzivylsZ sshd-session[1604]: Connection closed by 108.95.165.39 port 57314 [preauth]
auth,2026-09-04T10:54:37.068053+08:00,iZj6c5wznxkbnx0qzivylsZ,sshd-session,1621,CONN_CLOSED,,108.95.165.39,57316,[preauth],SSH 连接关闭（扫描器 preauth 特征）,2026-09-04T10:54:37.068053+08:00 iZj6c5wznxkbnx0qzivylsZ sshd-session[1621]: Connection closed by 108.95.165.39 port 57316 [preauth]
auth,2026-09-04T10:54:43.500619+08:00,iZj6c5wznxkbnx0qzivylsZ,sshd-session,1623,CONN_CLOSED,,108.95.165.39,35384,[preauth],SSH 连接关闭（扫描器 preauth 特征）,2026-09-04T10:54:43.500619+08:00 iZj6c5wznxkbnx0qzivylsZ sshd-session[1623]: Connection closed by 108.95.165.39 port 35384 [preauth]
auth,2026-09-04T10:54:50.064858+08:00,iZj6c5wznxkbnx0qzivylsZ,sshd-session,1645,CONN_CLOSED,,108.95.165.39,58716,[preauth],SSH 连接关闭（扫描器 preauth 特征）,2026-09-04T10:54:50.064858+08:00 iZj6c5wznxkbnx0qzivylsZ sshd-session[1645]: Connection closed by 108.95.165.39 port 58716 [preauth]
auth,2026-09-04T10:54:50.819447+08:00,iZj6c5wznxkbnx0qzivylsZ,sudo,,SESSION_OPENED,root(uid=0),,,,会话建立（sudo/登录）,2026-09-04T10:54:50.819447+08:00 iZj6c5wznxkbnx0qzivylsZ sudo: pam_unix(sudo:session): session opened for user root(uid=0) by (uid=0)
auth,2026-09-04T10:54:50.821292+08:00,iZj6c5wznxkbnx0qzivylsZ,sudo,,SESSION_CLOSED,root,,,,会话关闭,2026-09-04T10:54:50.821292+08:00 iZj6c5wznxkbnx0qzivylsZ sudo: pam_unix(sudo:session): session closed for user root
auth,2026-09-04T10:54:56.461667+08:00,iZj6c5wznxkbnx0qzivylsZ,sshd-session,1680,CONN_CLOSED,,108.95.165.39,58722,[preauth],SSH 连接关闭（扫描器 preauth 特征）,2026-09-04T10:54:56.461667+08:00 iZj6c5wznxkbnx0qzivylsZ sshd-session[1680]: Connection closed by 108.95.165.39 port 58722 [preauth]
auth,2026-09-04T10:55:03.109530+08:00,iZj6c5wznxkbnx0qzivylsZ,sshd-session,1685,CONN_CLOSED,,108.95.165.39,56320,[preauth],SSH 连接关闭（扫描器 preauth 特征）,2026-09-04T10:55:03.109530+08:00 iZj6c5wznxkbnx0qzivylsZ sshd-session[1685]: Connection closed by 108.95.165.39 port 56320 [preauth]
auth,2026-09-04T10:55:09.525492+08:00,iZj6c5wznxkbnx0qzivylsZ,sshd-session,1687,CONN_CLOSED,,108.95.165.39,53140,[preauth],SSH 连接关闭（扫描器 preauth 特征）,2026-09-04T10:55:09.525492+08:00 iZj6c5wznxkbnx0qzivylsZ sshd-session[1687]: Connection closed by 108.95.165.39 port 53140 [preauth]
auth,2026-09-04T10:55:15.944736+08:00,iZj6c5wznxkbnx0qzivylsZ,sshd-session,1689,CONN_CLOSED,,108.95.165.39,53144,[preauth],SSH 连接关闭（扫描器 preauth 特征）,2026-09-04T10:55:15.944736+08:00 iZj6c5wznxkbnx0qzivylsZ sshd-session[1689]: Connection closed by 108.95.165.39 port 53144 [preauth]
auth,2026-09-04T10:55:22.553150+08:00,iZj6c5wznxkbnx0qzivylsZ,sshd-session,1691,CONN_CLOSED,,108.95.165.39,33004,[preauth],SSH 连接关闭（扫描器 preauth 特征）,2026-09-04T10:55:22.553150+08:00 iZj6c5wznxkbnx0qzivylsZ sshd-session[1691]: Connection closed by 108.95.165.39 port 33004 [preauth]
auth,2026-09-04T10:55:29.109933+08:00,iZj6c5wznxkbnx0qzivylsZ,sshd-session,1693,CONN_CLOSED,,108.95.165.39,43142,[preauth],SSH 连接关闭（扫描器 preauth 特征）,2026-09-04T10:55:29.109933+08:00 iZj6c5wznxkbnx0qzivylsZ sshd-session[1693]: Connection closed by 108.95.165.39 port 43142 [preauth]
auth,2026-09-04T10:55:35.477866+08:00,iZj6c5wznxkbnx0qzivylsZ,sshd-session,1695,CONN_CLOSED,,108.95.165.39,43156,[preauth],SSH 连接关闭（扫描器 preauth 特征）,2026-09-04T10:55:35.477866+08:00 iZj6c5wznxkbnx0qzivylsZ sshd-session[1695]: Connection closed by 108.95.165.39 port 43156 [preauth]
auth,2026-09-04T10:55:42.032711+08:00,iZj6c5wznxkbnx0qzivylsZ,sshd-session,1702,CONN_CLOSED,,108.95.165.39,45292,[preauth],SSH 连接关闭（扫描器 preauth 特征）,2026-09-04T10:55:42.032711+08:00 iZj6c5wznxkbnx0qzivylsZ sshd-session[1702]: Connection closed by 108.95.165.39 port 45292 [preauth]
auth,2026-09-04T10:55:48.489597+08:00,iZj6c5wznxkbnx0qzivylsZ,sshd-session,1704,CONN_CLOSED,,108.95.165.39,56886,[preauth],SSH 连接关闭（扫描器 preauth 特征）,2026-09-04T10:55:48.489597+08:00 iZj6c5wznxkbnx0qzivylsZ sshd-session[1704]: Connection closed by 108.95.165.39 port 56886 [preauth]
auth,2026-09-04T10:55:55.451163+08:00,iZj6c5wznxkbnx0qzivylsZ,sshd-session,1706,CONN_CLOSED,,108.95.165.39,56902,[preauth],SSH 连接关闭（扫描器 preauth 特征）,2026-09-04T10:55:55.451163+08:00 iZj6c5wznxkbnx0qzivylsZ sshd-session[1706]: Connection closed by 108.95.165.39 port 56902 [preauth]
auth,2026-09-04T10:56:02.039472+08:00,iZj6c5wznxkbnx0qzivylsZ,sshd-session,1708,CONN_CLOSED,,108.95.165.39,58410,[preauth],SSH 连接关闭（扫描器 preauth 特征）,2026-09-04T10:56:02.039472+08:00 iZj6c5wznxkbnx0qzivylsZ sshd-session[1708]: Connection closed by 108.95.165.39 port 58410 [preauth]
auth,2026-09-04T10:56:08.557583+08:00,iZj6c5wznxkbnx0qzivylsZ,sshd-session,1710,CONN_CLOSED,,108.95.165.39,45560,[preauth],SSH 连接关闭（扫描器 preauth 特征）,2026-09-04T10:56:08.557583+08:00 iZj6c5wznxkbnx0qzivylsZ sshd-session[1710]: Connection closed by 108.95.165.39 port 45560 [preauth]
auth,2026-09-04T10:56:15.487327+08:00,iZj6c5wznxkbnx0qzivylsZ,sshd-session,1712,CONN_CLOSED,,108.95.165.39,45576,[preauth],SSH 连接关闭（扫描器 preauth 特征）,2026-09-04T10:56:15.487327+08:00 iZj6c5wznxkbnx0qzivylsZ sshd-session[1712]: Connection closed by 108.95.165.39 port 45576 [preauth]
auth,2026-09-04T10:56:21.956333+08:00,iZj6c5wznxkbnx0qzivylsZ,sshd-session,1714,CONN_CLOSED,,108.95.165.39,52414,[preauth],SSH 连接关闭（扫描器 preauth 特征）,2026-09-04T10:56:21.956333+08:00 iZj6c5wznxkbnx0qzivylsZ sshd-session[1714]: Connection closed by 108.95.165.39 port 52414 [preauth]
auth,2026-09-04T10:56:28.560235+08:00,iZj6c5wznxkbnx0qzivylsZ,sshd-session,1716,CONN_CLOSED,,108.95.165.39,47476,[preauth],SSH 连接关闭（扫描器 preauth 特征）,2026-09-04T10:56:28.560235+08:00 iZj6c5wznxkbnx0qzivylsZ sshd-session[1716]: Connection closed by 108.95.165.39 port 47476 [preauth]
auth,2026-09-04T10:56:34.961401+08:00,iZj6c5wznxkbnx0qzivylsZ,sshd-session,1718,CONN_CLOSED,,108.95.165.39,47478,[preauth],SSH 连接关闭（扫描器 preauth 特征）,2026-09-04T10:56:34.961401+08:00 iZj6c5wznxkbnx0qzivylsZ sshd-session[1718]: Connection closed by 108.95.165.39 port 47478 [preauth]
auth,2026-09-04T10:56:41.593472+08:00,iZj6c5wznxkbnx0qzivylsZ,sshd-session,1720,CONN_CLOSED,,108.95.165.39,54818,[preauth],SSH 连接关闭（扫描器 preauth 特征）,2026-09-04T10:56:41.593472+08:00 iZj6c5wznxkbnx0qzivylsZ sshd-session[1720]: Connection closed by 108.95.165.39 port 54818 [preauth]
auth,2026-09-04T10:56:48.047679+08:00,iZj6c5wznxkbnx0qzivylsZ,sshd-session,1722,CONN_CLOSED,,108.95.165.39,54824,[preauth],SSH 连接关闭（扫描器 preauth 特征）,2026-09-04T10:56:48.047679+08:00 iZj6c5wznxkbnx0qzivylsZ sshd-session[1722]: Connection closed by 108.95.165.39 port 54824 [preauth]
auth,2026-09-04T10:56:54.478377+08:00,iZj6c5wznxkbnx0qzivylsZ,sshd-session,1724,CONN_CLOSED,,108.95.165.39,50588,[preauth],SSH 连接关闭（扫描器 preauth 特征）,2026-09-04T10:56:54.478377+08:00 iZj6c5wznxkbnx0qzivylsZ sshd-session[1724]: Connection closed by 108.95.165.39 port 50588 [preauth]
auth,2026-09-04T10:57:00.989979+08:00,iZj6c5wznxkbnx0qzivylsZ,sshd-session,1726,CONN_CLOSED,,108.95.165.39,35104,[preauth],SSH 连接关闭（扫描器 preauth 特征）,2026-09-04T10:57:00.989979+08:00 iZj6c5wznxkbnx0qzivylsZ sshd-session[1726]: Connection closed by 108.95.165.39 port 35104 [preauth]
auth,2026-09-04T10:57:07.619474+08:00,iZj6c5wznxkbnx0qzivylsZ,sshd-session,1728,CONN_CLOSED,,108.95.165.39,35112,[preauth],SSH 连接关闭（扫描器 preauth 特征）,2026-09-04T10:57:07.619474+08:00 iZj6c5wznxkbnx0qzivylsZ sshd-session[1728]: Connection closed by 108.95.165.39 port 35112 [preauth]
auth,2026-09-04T10:57:14.000390+08:00,iZj6c5wznxkbnx0qzivylsZ,sshd-session,1730,CONN_CLOSED,,108.95.165.39,48810,[preauth],SSH 连接关闭（扫描器 preauth 特征）,2026-09-04T10:57:14.000390+08:00 iZj6c5wznxkbnx0qzivylsZ sshd-session[1730]: Connection closed by 108.95.165.39 port 48810 [preauth]
auth,2026-09-04T10:57:20.516670+08:00,iZj6c5wznxkbnx0qzivylsZ,sshd-session,1732,CONN_CLOSED,,108.95.165.39,41226,[preauth],SSH 连接关闭（扫描器 preauth 特征）,2026-09-04T10:57:20.516670+08:00 iZj6c5wznxkbnx0qzivylsZ sshd-session[1732]: Connection closed by 108.95.165.39 port 41226 [preauth]
auth,2026-09-04T10:57:26.974581+08:00,iZj6c5wznxkbnx0qzivylsZ,sshd-session,1734,CONN_CLOSED,,108.95.165.39,41232,[preauth],SSH 连接关闭（扫描器 preauth 特征）,2026-09-04T10:57:26.974581+08:00 iZj6c5wznxkbnx0qzivylsZ sshd-session[1734]: Connection closed by 108.95.165.39 port 41232 [preauth]
auth,2026-09-04T10:57:33.610868+08:00,iZj6c5wznxkbnx0qzivylsZ,sshd-session,1741,CONN_CLOSED,,108.95.165.39,58342,[preauth],SSH 连接关闭（扫描器 preauth 特征）,2026-09-04T10:57:33.610868+08:00 iZj6c5wznxkbnx0qzivylsZ sshd-session[1741]: Connection closed by 108.95.165.39 port 58342 [preauth]
auth,2026-09-04T10:57:40.009971+08:00,iZj6c5wznxkbnx0qzivylsZ,sshd-session,1743,CONN_CLOSED,,108.95.165.39,55792,[preauth],SSH 连接关闭（扫描器 preauth 特征）,2026-09-04T10:57:40.009971+08:00 iZj6c5wznxkbnx0qzivylsZ sshd-session[1743]: Connection closed by 108.95.165.39 port 55792 [preauth]
auth,2026-09-04T10:57:46.531286+08:00,iZj6c5wznxkbnx0qzivylsZ,sshd-session,1745,CONN_CLOSED,,108.95.165.39,55804,[preauth],SSH 连接关闭（扫描器 preauth 特征）,2026-09-04T10:57:46.531286+08:00 iZj6c5wznxkbnx0qzivylsZ sshd-session[1745]: Connection closed by 108.95.165.39 port 55804 [preauth]
auth,2026-09-04T10:57:53.002127+08:00,iZj6c5wznxkbnx0qzivylsZ,sshd-session,1747,CONN_CLOSED,,108.95.165.39,54628,[preauth],SSH 连接关闭（扫描器 preauth 特征）,2026-09-04T10:57:53.002127+08:00 iZj6c5wznxkbnx0qzivylsZ sshd-session[1747]: Connection closed by 108.95.165.39 port 54628 [preauth]
auth,2026-09-04T10:57:59.583537+08:00,iZj6c5wznxkbnx0qzivylsZ,sshd-session,1749,CONN_CLOSED,,108.95.165.39,43926,[preauth],SSH 连接关闭（扫描器 preauth 特征）,2026-09-04T10:57:59.583537+08:00 iZj6c5wznxkbnx0qzivylsZ sshd-session[1749]: Connection closed by 108.95.165.39 port 43926 [preauth]
auth,2026-09-04T10:58:05.973635+08:00,iZj6c5wznxkbnx0qzivylsZ,sshd-session,1751,CONN_CLOSED,,108.95.165.39,43928,[preauth],SSH 连接关闭（扫描器 preauth 特征）,2026-09-04T10:58:05.973635+08:00 iZj6c5wznxkbnx0qzivylsZ sshd-session[1751]: Connection closed by 108.95.165.39 port 43928 [preauth]
auth,2026-09-04T10:58:12.535525+08:00,iZj6c5wznxkbnx0qzivylsZ,sshd-session,1753,CONN_CLOSED,,108.95.165.39,49104,[preauth],SSH 连接关闭（扫描器 preauth 特征）,2026-09-04T10:58:12.535525+08:00 iZj6c5wznxkbnx0qzivylsZ sshd-session[1753]: Connection closed by 108.95.165.39 port 49104 [preauth]
auth,2026-09-04T10:58:18.992204+08:00,iZj6c5wznxkbnx0qzivylsZ,sshd-session,1755,CONN_CLOSED,,108.95.165.39,55340,[preauth],SSH 连接关闭（扫描器 preauth 特征）,2026-09-04T10:58:18.992204+08:00 iZj6c5wznxkbnx0qzivylsZ sshd-session[1755]: Connection closed by 108.95.165.39 port 55340 [preauth]
auth,2026-09-04T10:58:25.681713+08:00,iZj6c5wznxkbnx0qzivylsZ,sshd-session,1757,CONN_CLOSED,,108.95.165.39,55346,[preauth],SSH 连接关闭（扫描器 preauth 特征）,2026-09-04T10:58:25.681713+08:00 iZj6c5wznxkbnx0qzivylsZ sshd-session[1757]: Connection closed by 108.95.165.39 port 55346 [preauth]
auth,2026-09-04T10:58:32.219953+08:00,iZj6c5wznxkbnx0qzivylsZ,sshd-session,1759,CONN_CLOSED,,108.95.165.39,55526,[preauth],SSH 连接关闭（扫描器 preauth 特征）,2026-09-04T10:58:32.219953+08:00 iZj6c5wznxkbnx0qzivylsZ sshd-session[1759]: Connection closed by 108.95.165.39 port 55526 [preauth]
auth,2026-09-04T10:58:38.753680+08:00,iZj6c5wznxkbnx0qzivylsZ,sshd-session,1761,CONN_CLOSED,,108.95.165.39,35074,[preauth],SSH 连接关闭（扫描器 preauth 特征）,2026-09-04T10:58:38.753680+08:00 iZj6c5wznxkbnx0qzivylsZ sshd-session[1761]: Connection closed by 108.95.165.39 port 35074 [preauth]
auth,2026-09-04T10:58:45.509637+08:00,iZj6c5wznxkbnx0qzivylsZ,sshd-session,1763,CONN_CLOSED,,108.95.165.39,35076,[preauth],SSH 连接关闭（扫描器 preauth 特征）,2026-09-04T10:58:45.509637+08:00 iZj6c5wznxkbnx0qzivylsZ sshd-session[1763]: Connection closed by 108.95.165.39 port 35076 [preauth]
auth,2026-09-04T10:58:52.151575+08:00,iZj6c5wznxkbnx0qzivylsZ,sshd-session,1765,CONN_CLOSED,,108.95.165.39,58456,[preauth],SSH 连接关闭（扫描器 preauth 特征）,2026-09-04T10:58:52.151575+08:00 iZj6c5wznxkbnx0qzivylsZ sshd-session[1765]: Connection closed by 108.95.165.39 port 58456 [preauth]
auth,2026-09-04T10:58:58.747709+08:00,iZj6c5wznxkbnx0qzivylsZ,sshd-session,1767,CONN_CLOSED,,108.95.165.39,34360,[preauth],SSH 连接关闭（扫描器 preauth 特征）,2026-09-04T10:58:58.747709+08:00 iZj6c5wznxkbnx0qzivylsZ sshd-session[1767]: Connection closed by 108.95.165.39 port 34360 [preauth]
auth,2026-09-04T10:59:05.245010+08:00,iZj6c5wznxkbnx0qzivylsZ,sshd-session,1769,CONN_CLOSED,,108.95.165.39,34372,[preauth],SSH 连接关闭（扫描器 preauth 特征）,2026-09-04T10:59:05.245010+08:00 iZj6c5wznxkbnx0qzivylsZ sshd-session[1769]: Connection closed by 108.95.165.39 port 34372 [preauth]
auth,2026-09-04T10:59:11.730699+08:00,iZj6c5wznxkbnx0qzivylsZ,sshd-session,1772,CONN_CLOSED,,108.95.165.39,42562,[preauth],SSH 连接关闭（扫描器 preauth 特征）,2026-09-04T10:59:11.730699+08:00 iZj6c5wznxkbnx0qzivylsZ sshd-session[1772]: Connection closed by 108.95.165.39 port 42562 [preauth]
auth,2026-09-04T10:59:18.360549+08:00,iZj6c5wznxkbnx0qzivylsZ,sshd-session,1774,CONN_CLOSED,,108.95.165.39,42566,[preauth],SSH 连接关闭（扫描器 preauth 特征）,2026-09-04T10:59:18.360549+08:00 iZj6c5wznxkbnx0qzivylsZ sshd-session[1774]: Connection closed by 108.95.165.39 port 42566 [preauth]
auth,2026-09-04T10:59:24.757058+08:00,iZj6c5wznxkbnx0qzivylsZ,sshd-session,1776,CONN_CLOSED,,108.95.165.39,56416,[preauth],SSH 连接关闭（扫描器 preauth 特征）,2026-09-04T10:59:24.757058+08:00 iZj6c5wznxkbnx0qzivylsZ sshd-session[1776]: Connection closed by 108.95.165.39 port 56416 [preauth]
auth,2026-09-04T10:59:31.300702+08:00,iZj6c5wznxkbnx0qzivylsZ,sshd-session,1778,CONN_CLOSED,,108.95.165.39,59298,[preauth],SSH 连接关闭（扫描器 preauth 特征）,2026-09-04T10:59:31.300702+08:00 iZj6c5wznxkbnx0qzivylsZ sshd-session[1778]: Connection closed by 108.95.165.39 port 59298 [preauth]
auth,2026-09-04T10:59:37.991675+08:00,iZj6c5wznxkbnx0qzivylsZ,sshd-session,1780,CONN_CLOSED,,108.95.165.39,59314,[preauth],SSH 连接关闭（扫描器 preauth 特征）,2026-09-04T10:59:37.991675+08:00 iZj6c5wznxkbnx0qzivylsZ sshd-session[1780]: Connection closed by 108.95.165.39 port 59314 [preauth]
auth,2026-09-04T10:59:44.635079+08:00,iZj6c5wznxkbnx0qzivylsZ,sshd-session,1783,CONN_CLOSED,,108.95.165.39,35496,[preauth],SSH 连接关闭（扫描器 preauth 特征）,2026-09-04T10:59:44.635079+08:00 iZj6c5wznxkbnx0qzivylsZ sshd-session[1783]: Connection closed by 108.95.165.39 port 35496 [preauth]
auth,2026-09-04T10:59:51.261672+08:00,iZj6c5wznxkbnx0qzivylsZ,sshd-session,1787,CONN_CLOSED,,108.95.165.39,51466,[preauth],SSH 连接关闭（扫描器 preauth 特征）,2026-09-04T10:59:51.261672+08:00 iZj6c5wznxkbnx0qzivylsZ sshd-session[1787]: Connection closed by 108.95.165.39 port 51466 [preauth]
