pid,user,ip,port,method,login_time,logout_time,duration_sec
1851,root,106.61.42.246,44746,password,2026-09-04T11:03:07.377474+08:00,2026-09-04T11:03:19.216929+08:00,11.8
2084,root,106.61.42.246,44762,password,2026-09-04T11:06:04.411755+08:00,2026-09-04T11:06:13.614029+08:00,9.2
2269,root,106.61.42.246,44579,password,2026-09-04T11:06:44.372817+08:00,2026-09-04T11:06:46.119994+08:00,1.7
2843,root,106.61.42.246,44568,password,2026-09-04T11:22:52.946085+08:00,2026-09-04T11:27:27.890004+08:00,274.9
3080,root,106.61.42.246,44686,password,2026-09-04T11:27:45.910922+08:00,2026-09-04T13:42:51.583080+08:00,8105.7
6171,root,106.61.42.246,44727,password,2026-09-04T13:55:27.646375+08:00,2026-09-04T16:24:06.393370+08:00,8918.7
8134,root,106.61.42.246,44558,password,2026-09-04T15:03:03.744511+08:00,2026-09-04T15:05:35.956405+08:00,152.2
15138,deploy,106.61.42.246,44560,password,2026-09-04T15:03:54.239362+08:00,2026-09-04T15:04:03.320196+08:00,9.1
15345,root,106.61.42.246,44718,password,2026-09-04T15:06:05.355362+08:00,2026-09-04T15:06:13.768163+08:00,8.4
15418,deploy,106.61.42.246,44720,password,2026-09-04T15:06:07.224413+08:00,2026-09-04T15:06:13.111506+08:00,5.9
15572,deploy,106.61.42.246,44740,password,2026-09-04T15:06:35.046868+08:00,2026-09-04T15:06:40.909112+08:00,5.9
15689,root,106.61.42.246,44746,password,2026-09-04T15:06:41.476225+08:00,2026-09-04T15:07:11.763259+08:00,30.3
15772,root,106.61.42.246,44762,password,2026-09-04T15:07:20.940124+08:00,2026-09-04T15:07:21.623825+08:00,0.7
15839,root,106.61.42.246,44642,password,2026-09-04T15:07:36.443606+08:00,2026-09-04T15:07:44.197919+08:00,7.8
15898,deploy,106.61.42.246,44643,password,2026-09-04T15:07:37.243339+08:00,2026-09-04T15:07:43.002863+08:00,5.8
16433,root,106.61.42.246,44537,password,2026-09-04T15:25:17.498714+08:00,2026-09-04T17:50:23.679252+08:00,8706.2
17304,root,106.61.42.246,44726,password,2026-09-04T16:00:23.222333+08:00,2026-09-04T18:29:10.207103+08:00,8927.0
18294,root,106.61.42.246,44602,password,2026-09-04T16:30:08.754918+08:00,2026-09-04T19:28:41.919112+08:00,10713.2
20065,root,106.61.42.246,44561,password,2026-09-04T17:14:56.237954+08:00,2026-09-04T17:14:58.321396+08:00,2.1
20157,root,106.61.42.246,44562,password,2026-09-04T17:15:20.399848+08:00,2026-09-04T17:15:22.862227+08:00,2.5
20331,root,106.61.42.246,44708,password,2026-09-04T17:20:26.951099+08:00,2026-09-04T17:26:56.609435+08:00,389.7
22450,root,106.61.42.246,44724,password,2026-09-04T18:54:17.583511+08:00,2026-09-04T21:10:45.439080+08:00,8187.9
42656,root,106.61.37.103,24263,password,2026-09-05T09:13:07.905144+08:00,2026-09-05T11:30:59.135230+08:00,8271.2
43281,root,106.61.37.103,24079,password,2026-09-05T09:33:28.927233+08:00,2026-09-05T11:53:22.624108+08:00,8393.7
44374,root,106.61.37.103,24157,publickey,2026-09-05T10:07:12.352710+08:00,2026-09-05T11:02:59.775173+08:00,3347.4
45094,root,106.61.37.103,24276,password,2026-09-05T10:29:22.560179+08:00,2026-09-05T10:39:25.275889+08:00,602.7
45212,root,106.61.37.103,24041,password,2026-09-05T10:29:44.037576+08:00,2026-09-05T10:29:45.233247+08:00,1.2
45318,root,106.61.37.103,24054,publickey,2026-09-05T10:31:43.626668+08:00,2026-09-05T11:41:17.364025+08:00,4173.7
46928,root,106.61.37.103,24113,password,2026-09-05T11:34:13.489081+08:00,2026-09-05T11:34:25.626752+08:00,12.1
47229,root,106.61.37.103,24117,password,2026-09-05T11:36:42.919200+08:00,2026-09-05T11:36:54.232186+08:00,11.3
49817,root,106.61.37.103,24226,publickey,2026-09-05T16:20:25.148111+08:00,,
50042,root,106.61.37.103,24256,password,2026-09-05T16:23:04.137375+08:00,,
